,TSLA,CERN,RXT,HUBS,INTU,OKTA,TRUE,MELI,QIWI,SLAB,JWN,TWTR,CTXS,PINS,BIDU,ZEN,EB,ASAN,TRVG,UIS,NTAP,BB,CIEN,EPAM,ZM,SPOT,CSCO,VMW,PYPL,ADBE,ACN,BAH,WORK,PLTR,FVRR,MDLA,FTNT,DASH,TU,CARG,YELP,AKAM,NTNX,V,NEWR,SHOP,ORCL,DOCN,QCOM,ABNB,ADSK,SSTK,REAL,EXTR,NFLX,AAPL,VG,MSTR,WIX,DDOG,SPLK,ZBRA,TDC,BABA,AMZN,ESTC,TWLO,GRPN,W,BIGC,ERIC,FEYE,PI,TEAM,DOCU
2019-04-01,,0.01735288935935049,,0.01735288935935049,0.01735288935935049,0.01735288935935049,0.01735288935935049,0.01735288935935049,0.01735288935935049,,0.01735288935935049,,,,,0.01735288935935049,0.01735288935935049,,0.01735288935935049,,,,,,,,0.01735288935935049,,0.01735288935935049,0.01735288935935049,,,,,,,,,0.01735288935935049,0.01735288935935049,,,0.01735288935935049,0.01735288935935049,0.01735288935935049,0.01735288935935049,0.01735288935935049,,,,0.01735288935935049,0.01735288935935049,,,0.01735288935935049,0.01735288935935049,0.01735288935935049,,0.01735288935935049,,0.01735288935935049,,,0.01735288935935049,0.01735288935935049,0.01735288935935049,0.01735288935935049,0.01735288935935049,0.01735288935935049,,0.01735288935935049,,,0.01735288935935049,0.01735288935935049
2019-05-01,,0.02812816704308495,,0.02812816704308495,0.02812816704308495,0.02812816704308495,0.02812816704308495,0.02812816704308495,0.02812816704308495,,0.02812816704308495,,,,,0.02812816704308495,0.02812816704308495,,0.02812816704308495,,,,,,,,0.02812816704308495,,0.02812816704308495,0.02812816704308495,,,,,,,,,0.02812816704308495,0.02812816704308495,,,0.02812816704308495,0.02812816704308495,0.02812816704308495,0.02812816704308495,0.02812816704308495,,,,0.02812816704308495,0.02812816704308495,,,0.02812816704308495,0.02812816704308495,0.02812816704308495,,0.02812816704308495,,0.02812816704308495,,,0.02812816704308495,0.02812816704308495,0.02812816704308495,0.02812816704308495,0.02812816704308495,0.02812816704308495,,0.02812816704308495,,,0.02812816704308495,0.02812816704308495
2019-06-01,,0.025119158114736334,,0.025119158114736334,0.025119158114736334,0.025119158114736334,0.025119158114736334,0.025119158114736334,0.025119158114736334,,0.025119158114736334,,,,,0.025119158114736334,0.025119158114736334,,0.025119158114736334,,,,,,,,0.025119158114736334,,0.025119158114736334,0.025119158114736334,,,,,,,,,0.025119158114736334,0.025119158114736334,,,0.025119158114736334,0.025119158114736334,0.025119158114736334,0.025119158114736334,0.025119158114736334,,,,0.025119158114736334,0.025119158114736334,,,0.025119158114736334,0.025119158114736334,0.025119158114736334,,0.025119158114736334,,0.025119158114736334,,,0.025119158114736334,0.025119158114736334,0.025119158114736334,0.025119158114736334,0.025119158114736334,0.025119158114736334,,0.025119158114736334,,,0.025119158114736334,0.025119158114736334
2019-07-01,,0.02159912890532322,,0.02159912890532322,0.02159912890532322,0.02159912890532322,0.02159912890532322,0.02159912890532322,0.02159912890532322,,0.02159912890532322,,,,,0.02159912890532322,0.02159912890532322,,0.02159912890532322,,,,,,,,0.02159912890532322,,0.02159912890532322,0.02159912890532322,,,,,,,,,0.02159912890532322,0.02159912890532322,,,0.02159912890532322,0.02159912890532322,0.02159912890532322,0.02159912890532322,0.02159912890532322,,,,0.02159912890532322,0.02159912890532322,,,0.02159912890532322,0.02159912890532322,0.02159912890532322,,0.02159912890532322,,0.02159912890532322,,,0.02159912890532322,0.02159912890532322,0.02159912890532322,0.02159912890532322,0.02159912890532322,0.02159912890532322,,0.02159912890532322,,,0.02159912890532322,0.02159912890532322
2019-08-01,,0.026446832766972652,,0.026446832766972652,0.026446832766972652,0.026446832766972652,0.026446832766972652,0.026446832766972652,0.026446832766972652,,0.026446832766972652,,,,,0.026446832766972652,0.026446832766972652,,0.026446832766972652,,,,,,,,0.026446832766972652,,0.026446832766972652,0.026446832766972652,,,,,,,,,0.026446832766972652,0.026446832766972652,,,0.026446832766972652,0.026446832766972652,0.026446832766972652,0.026446832766972652,0.026446832766972652,,,,0.026446832766972652,0.026446832766972652,,,0.026446832766972652,0.026446832766972652,0.026446832766972652,,0.026446832766972652,,0.026446832766972652,,,0.026446832766972652,0.026446832766972652,0.026446832766972652,0.026446832766972652,0.026446832766972652,0.026446832766972652,,0.026446832766972652,,,0.026446832766972652,0.026446832766972652
2019-09-01,,0.021964683483839106,,0.021964683483839106,0.021964683483839106,0.021964683483839106,0.021964683483839106,0.021964683483839106,0.021964683483839106,,0.021964683483839106,,,,,0.021964683483839106,0.021964683483839106,,0.021964683483839106,,,,,,,,0.021964683483839106,,0.021964683483839106,0.021964683483839106,,,,,,,,,0.021964683483839106,0.021964683483839106,,,0.021964683483839106,0.021964683483839106,0.021964683483839106,0.021964683483839106,0.021964683483839106,,,,0.021964683483839106,0.021964683483839106,,,0.021964683483839106,0.021964683483839106,0.021964683483839106,,0.021964683483839106,,0.021964683483839106,,,0.021964683483839106,0.021964683483839106,0.021964683483839106,0.021964683483839106,0.021964683483839106,0.021964683483839106,,0.021964683483839106,,,0.021964683483839106,0.021964683483839106
2019-10-01,,0.018070659394496143,,0.018070659394496143,0.018070659394496143,0.018070659394496143,0.018070659394496143,0.018070659394496143,0.018070659394496143,,0.018070659394496143,,,0.018070659394496143,,0.018070659394496143,0.018070659394496143,,0.018070659394496143,,,,,,,,0.018070659394496143,,0.018070659394496143,0.018070659394496143,,,,,,,,,0.018070659394496143,0.018070659394496143,,,0.018070659394496143,0.018070659394496143,0.018070659394496143,0.018070659394496143,0.018070659394496143,,,,0.018070659394496143,0.018070659394496143,,,0.018070659394496143,0.018070659394496143,0.018070659394496143,,0.018070659394496143,,0.018070659394496143,,,0.018070659394496143,0.018070659394496143,0.018070659394496143,0.018070659394496143,0.018070659394496143,0.018070659394496143,,0.018070659394496143,,,0.018070659394496143,0.018070659394496143
2019-11-01,,0.018655768088340192,,0.018655768088340192,0.018655768088340192,0.018655768088340192,0.018655768088340192,0.018655768088340192,0.018655768088340192,,0.018655768088340192,,,0.018655768088340192,,0.018655768088340192,0.018655768088340192,,0.018655768088340192,,,,,,,,0.018655768088340192,,0.018655768088340192,0.018655768088340192,,,,,,,,,0.018655768088340192,0.018655768088340192,,,0.018655768088340192,0.018655768088340192,0.018655768088340192,0.018655768088340192,0.018655768088340192,,,,0.018655768088340192,0.018655768088340192,,,0.018655768088340192,0.018655768088340192,0.018655768088340192,,0.018655768088340192,,0.018655768088340192,,,0.018655768088340192,0.018655768088340192,0.018655768088340192,0.018655768088340192,0.018655768088340192,0.018655768088340192,,0.018655768088340192,,,0.018655768088340192,0.018655768088340192
2019-12-01,,0.013176777932417814,,0.013176777932417814,0.013176777932417814,0.013176777932417814,0.013176777932417814,0.013176777932417814,0.013176777932417814,,0.013176777932417814,,,0.013176777932417814,,0.013176777932417814,0.013176777932417814,,0.013176777932417814,,,,,,,,0.013176777932417814,,0.013176777932417814,0.013176777932417814,,,0.013176777932417814,,0.013176777932417814,,,,0.013176777932417814,0.013176777932417814,,,0.013176777932417814,0.013176777932417814,0.013176777932417814,0.013176777932417814,0.013176777932417814,,,,0.013176777932417814,0.013176777932417814,0.013176777932417814,,0.013176777932417814,0.013176777932417814,0.013176777932417814,,0.013176777932417814,,0.013176777932417814,,,0.013176777932417814,0.013176777932417814,0.013176777932417814,0.013176777932417814,0.013176777932417814,0.013176777932417814,,0.013176777932417814,,,0.013176777932417814,0.013176777932417814
2020-01-01,,0.001368492195605792,,0.001368492195605792,0.001368492195605792,0.001368492195605792,0.001368492195605792,0.001368492195605792,0.001368492195605792,,0.001368492195605792,,,0.001368492195605792,,0.001368492195605792,0.001368492195605792,,0.001368492195605792,,,,,,,,0.001368492195605792,,0.001368492195605792,0.001368492195605792,,,0.001368492195605792,,0.001368492195605792,0.001368492195605792,,,0.001368492195605792,0.001368492195605792,,,0.001368492195605792,0.001368492195605792,0.001368492195605792,0.001368492195605792,0.001368492195605792,,,,0.001368492195605792,0.001368492195605792,0.001368492195605792,,0.001368492195605792,0.001368492195605792,0.001368492195605792,,0.001368492195605792,,0.001368492195605792,,,0.001368492195605792,0.001368492195605792,0.001368492195605792,0.001368492195605792,0.001368492195605792,0.001368492195605792,,0.001368492195605792,,,0.001368492195605792,0.001368492195605792
